identifier,datetime,energy
1,11/04/21 00:00,0
2,11/04/21 00:00,0
1,11/04/21 01:00,0
2,11/04/21 01:00,0
1,11/04/21 02:00,0
2,11/04/21 02:00,0
1,11/04/21 03:00,0
2,11/04/21 03:00,0
1,11/04/21 04:00,0
2,11/04/21 04:00,0
1,11/04/21 05:00,0
2,11/04/21 05:00,0
1,11/04/21 06:00,194
2,11/04/21 06:00,458
1,11/04/21 07:00,1445
2,11/04/21 07:00,5768
1,11/04/21 08:00,2477
2,11/04/21 08:00,37808
1,11/04/21 09:00,6374
2,11/04/21 09:00,27496
1,11/04/21 10:00,10466
2,11/04/21 10:00,31259
1,11/04/21 11:00,12193
2,11/04/21 11:00,42570
1,11/04/21 12:00,12178
2,11/04/21 12:00,17642
1,11/04/21 13:00,7390
2,11/04/21 13:00,46399
1,11/04/21 14:00,6473
2,11/04/21 14:00,30740
1,11/04/21 15:00,7332
2,11/04/21 15:00,39944
1,11/04/21 16:00,3658
2,11/04/21 16:00,17653
1,11/04/21 17:00,843
2,11/04/21 17:00,8974
1,11/04/21 18:00,188
2,11/04/21 18:00,3810
1,11/04/21 19:00,0
2,11/04/21 19:00,1071
1,11/04/21 20:00,0
2,11/04/21 20:00,0
1,11/04/21 21:00,0
2,11/04/21 21:00,0
1,11/04/21 22:00,0
2,11/04/21 22:00,0
1,11/04/21 23:00,0
2,11/04/21 23:00,0
