identifier,datetime,energy
1,10/04/17 00:00,0
2,10/04/17 00:00,0
1,10/04/17 01:00,0
2,10/04/17 01:00,0
1,10/04/17 02:00,0
2,10/04/17 02:00,0
1,10/04/17 03:00,0
2,10/04/17 03:00,0
1,10/04/17 04:00,0
2,10/04/17 04:00,0
1,10/04/17 05:00,0
2,10/04/17 05:00,0
1,10/04/17 06:00,343
2,10/04/17 06:00,4494
1,10/04/17 07:00,2174
2,10/04/17 07:00,26875
1,10/04/17 08:00,5066
2,10/04/17 08:00,48084
1,10/04/17 09:00,8592
2,10/04/17 09:00,62493
1,10/04/17 10:00,10865
2,10/04/17 10:00,70974
1,10/04/17 11:00,12211
2,10/04/17 11:00,73451
1,10/04/17 12:00,12529
2,10/04/17 12:00,71831
1,10/04/17 13:00,12181
2,10/04/17 13:00,66019
1,10/04/17 14:00,10825
2,10/04/17 14:00,56844
1,10/04/17 15:00,8168
2,10/04/17 15:00,42351
1,10/04/17 16:00,4582
2,10/04/17 16:00,24642
1,10/04/17 17:00,1745
2,10/04/17 17:00,8911
1,10/04/17 18:00,287
2,10/04/17 18:00,3311
1,10/04/17 19:00,9
2,10/04/17 19:00,1262
1,10/04/17 20:00,0
2,10/04/17 20:00,0
1,10/04/17 21:00,0
2,10/04/17 21:00,0
1,10/04/17 22:00,0
2,10/04/17 22:00,0
1,10/04/17 23:00,0
2,10/04/17 23:00,0
